Depth,Well,Formation,GR,NPHI,RHOB,DTCO,DTSM,Environment
4757.5,P-2,Plover Fm,47.9759,51.5435,2.2692,104.9039,192.0786,1
4758,P-2,Plover Fm,43.9388,50.9944,2.4127,98.7182,177.1153,1
4758.5,P-2,Plover Fm,34.5659,51.6866,2.1166,100.4562,193.5188,1
4759,P-2,Plover Fm,17.5121,49.4395,2.308,82.968,157.4877,1
4759.5,P-2,Plover Fm,9.1762,41.9884,2.637,63.2221,120.2126,4
4760,P-2,Plover Fm,11.3697,32.0423,2.6636,66.4818,119.399,4
4760.5,P-2,Plover Fm,10.611,29.234,2.6682,61.3163,110.3784,4
4761,P-2,Plover Fm,9.1762,26.3798,2.6883,54.5434,87.5109,4
4761.5,P-2,Plover Fm,8.4603,24.0023,2.6014,55.4353,93.4559,4
4762,P-2,Plover Fm,7.7344,24.4184,2.6644,52.7714,96.5502,4
4762.5,P-2,Plover Fm,7.8168,24.3851,2.6843,55.2472,103.9859,4
4763,P-2,Plover Fm,6.6166,23.7887,2.6316,58.4967,95.924,4
4763.5,P-2,Plover Fm,7.2373,24.5927,2.5126,56.4718,103.1222,4
